Tournament Wins,School,Season,PPG,Opp PPG,Rank Rating,Kenpom,Seed,SOS,2PPG,2PAPG,3PPG,3PAPG,FTPG,FTAPG,ORBPG,DRBPG,ASTPG,STLPG,BLKPG,TOVPG,PFPG,FG%,2P%,3P%,FT%
2,Southern California,2016-17,78.7,73.18,7.07,350.00,11.00,98.00,19.22222222,37.69444444,7.861111111,21.72222222,16.19444444,21.86111111,7.083333333,20.77777778,14,5.805555556,1.833333333,12.30555556,15.22222222,0.456,0.51,0.362,0.741
1,Florida State,2016-17,82.45,71.27,8.31,350.00,3.00,34.00,22.94285714,42.14285714,6.657142857,19.17142857,16.22857143,23.54285714,8.771428571,25.08571429,15.8,6.914285714,2.828571429,10.17142857,18.71428571,0.483,0.544,0.347,0.689
1,Iowa State,2016-17,80.88,72,8.03,350.00,5.00,11.00,19.62857143,37.88571429,9.828571429,24.57142857,12.08571429,17.25714286,6.771428571,24.48571429,13.45714286,4.771428571,5.2,10.68571429,18.14285714,0.472,0.518,0.4,0.7
1,Kansas State,2016-17,71.73,66.94,6.84,350.00,11.00,25.00,17.77142857,34.28571429,7.057142857,19.51428571,15.37142857,22.14285714,9.685714286,22.97142857,15.71428571,6.542857143,3.514285714,11.11428571,16.85714286,0.461,0.518,0.362,0.694
1,Michigan State,2016-17,71.73,68.36,6.35,350.00,9.00,12.00,18.05714286,34.14285714,7.8,20.91428571,12.34285714,18.45714286,10.34285714,23,15.62857143,4.628571429,3.457142857,10.54285714,16.6,0.47,0.529,0.373,0.669
1,Mount St. Mary's,2016-17,68.32,68.59,3.80,350.00,16.00,267.00,17.11111111,34.63888889,7.25,20.27777778,11.97222222,17.77777778,8.166666667,21.44444444,13.05555556,5,4.277777778,11.55555556,17,0.444,0.494,0.358,0.673
1,Saint Mary's (CA),2016-17,72,56.5,8.24,350.00,7.00,116.00,17.61764706,30.97058824,8.617647059,21.88235294,10.94117647,14.67647059,10.05882353,24.85294118,15.14705882,7.058823529,6,13.79411765,15.17647059,0.496,0.569,0.394,0.745
1,UC-Davis,2016-17,70.47,68.91,4.68,350.00,16.00,305.00,18.11111111,38.13888889,6.138888889,17.63888889,15.5,23,7.916666667,21.27777778,11.27777778,6.833333333,5.833333333,9.611111111,16.25,0.435,0.475,0.348,0.674
1,Wichita State,2016-17,82.06,62.44,7.45,350.00,10.00,262.00,18.94444444,37.36111111,8.611111111,21.36111111,17.27777778,23.55555556,9.694444444,21.77777778,12.80555556,6.527777778,3.75,11.61111111,16.47222222,0.469,0.507,0.403,0.733
0,East Tennessee State,2016-17,79.91,69.35,7.37,350.00,13.00,203.00,19.85714286,36.4,7.571428571,19.8,17.05714286,24.28571429,14.62857143,22.45714286,14.57142857,9.8,2.628571429,13.71428571,23.4,0.488,0.546,0.382,0.702
0,Jacksonville State,2016-17,69.74,67.65,4.88,350.00,15.00,226.00,17.11428571,33.82857143,7.371428571,19.57142857,13.2,18.48571429,9.228571429,23.05714286,12.28571429,5.314285714,4.085714286,8.857142857,13.82857143,0.459,0.506,0.377,0.714
0,Kent State,2016-17,76.91,72.31,6.11,350.00,14.00,180.00,20.25,41.63888889,7.138888889,22.30555556,15.08333333,20.97222222,8.777777778,27.41666667,17.63888889,7.805555556,3.777777778,11.69444444,18.88888889,0.428,0.486,0.32,0.719
0,Miami (FL),2016-17,69.38,63.69,7.27,350.00,8.00,36.00,18.3030303,36.75757576,6.333333333,17.78787879,13.42424242,18.6969697,15.48484848,30.63636364,21.45454545,8.121212121,5.363636364,12.87878788,21.72727273,0.452,0.498,0.356,0.718
0,New Mexico State,2016-17,78.94,67.24,6.91,350.00,14.00,314.00,19.44117647,35.58823529,7.411764706,21.97058824,17.64705882,24.79411765,12.14705882,28.70588235,17.17647059,6.735294118,5.911764706,12.61764706,21.05882353,0.467,0.546,0.337,0.712
0,North Carolina-Wilmington,2016-17,85.18,74.94,7.55,350.00,12.00,176.00,21,37.54285714,9.6,26.2,13.97142857,20.22857143,15.77142857,29.97142857,20.6,8.057142857,3.971428571,13.34285714,20.28571429,0.48,0.559,0.366,0.691
0,Oklahoma State,2016-17,85.53,78.03,7.49,350.00,10.00,8.00,20.09090909,39.93939394,8.909090909,22.18181818,18.78787879,23.81818182,11.18181818,28.63636364,15.93939394,8.333333333,3.96969697,12.60606061,20.57575758,0.467,0.503,0.402,0.789
0,South Dakota State,2016-17,77.56,77.38,4.60,350.00,16.00,122.00,16.08571429,30.14285714,9.085714286,25.22857143,17.22857143,22.34285714,10.65714286,25.37142857,13.57142857,6.771428571,5,13.02857143,18.25714286,0.455,0.534,0.36,0.771
0,Southern Methodist,2016-17,74.53,59.82,8.22,350.00,6.00,117.00,17.94285714,35.11428571,8.171428571,20.14285714,13.85714286,19.88571429,9.257142857,32.57142857,17,7.571428571,5.228571429,12.65714286,18.85714286,0.473,0.511,0.406,0.697
0,Virginia Commonwealth,2016-17,74.68,66.41,7.64,350.00,10.00,102.00,21.31428571,41.37142857,5.685714286,17.2,15.05714286,21.34285714,10.8,24.68571429,12.88571429,6.4,1.714285714,11.6,20.28571429,0.461,0.515,0.331,0.705
0,Texas Southern,2016-17,74.38,71.74,4.88,207.00,16.00,334.00,18.88571429,37.77142857,5.857142857,19.8,18.74285714,25.51428571,14.11428571,28.22857143,15.25714286,7.4,6.514285714,13,18.37142857,0.43,0.5,0.296,0.735
0,New Orleans,2016-17,73.06,69.29,5.29,178.00,16.00,309.00,21.59375,41.15625,4.34375,13.6875,16.625,23.40625,10.46875,28.03125,15.75,5.4375,3.96875,9.0625,15.5625,0.473,0.525,0.317,0.71
0,North Dakota,2016-17,80.52,72.81,6.36,173.00,15.00,278.00,21.8125,41.6875,7.125,18.28125,15.5625,21.8125,8.75,25.03125,17.15625,6.21875,3.71875,10.3125,18.46875,0.483,0.523,0.39,0.713
0,North Carolina Central,2016-17,75.12,63.39,6.55,152.00,16.00,351.00,19.26470588,36.58823529,7.5,22.38235294,13.73529412,20.11764706,11.58823529,25.73529412,14.97058824,8.058823529,3.470588235,12.5,17.85294118,0.454,0.527,0.335,0.683
0,Northern Kentucky,2016-17,76.15,71.41,6.17,147.00,15.00,225.00,17.94285714,33.65714286,8.571428571,24.54285714,14.37142857,21.14285714,12.17142857,23.11428571,13.48571429,7.142857143,4.114285714,13.14285714,20.91428571,0.456,0.533,0.349,0.68
0,Troy,2016-17,78.44,71.67,6.11,130.00,15.00,221.00,18.13513514,34.75675676,8.405405405,23.43243243,16.59459459,22.89189189,11.7027027,27.13513514,14.2972973,6.513513514,9.297297297,11.97297297,15.94594595,0.456,0.522,0.359,0.725
0,Iona,2016-17,80.47,76.35,5.58,118.00,14.00,270.00,18.2,36.94285714,9.771428571,24.62857143,14.65714286,19.08571429,11.88571429,24.22857143,13.17142857,6.485714286,5.285714286,10.62857143,18.62857143,0.454,0.493,0.397,0.768
0,Winthrop,2016-17,79.72,70.19,7.03,112.00,13.00,252.00,17.51515152,33.87878788,9.484848485,25.42424242,15.75757576,21.96969697,13.60606061,27.45454545,16.06060606,8.757575758,5.242424242,14.57575758,21.21212121,0.455,0.517,0.373,0.717
